Coin,Price,24h Change,Market Cap,Timestamp
Bitcoin,"$109,887.65",0.05%,"$2,191,527,272,010",2025-11-01 20:36:06
Ethereum,"$3,870.43",0.02%,"$467,060,181,787",2025-11-01 20:36:06
Tether,$0.9997,0.02%,"$183,406,233,613",2025-11-01 20:36:06
BNB,"$1,084.36",0.07%,"$149,358,250,423",2025-11-01 20:36:06
XRP,$2.48,0.31%,"$149,190,658,412",2025-11-01 20:36:06
Solana,$184.87,0.21%,"$102,141,671,312",2025-11-01 20:36:06
USDC,$1.00,0.03%,"$75,928,833,246",2025-11-01 20:36:07
Dogecoin,$0.1859,0.37%,"$28,184,032,513",2025-11-01 20:36:07
TRON,$0.2960,0.04%,"$28,026,214,830",2025-11-01 20:36:07
Cardano,$0.6071,0.63%,"$21,772,047,886",2025-11-01 20:36:07
